INDEX,PM2.5-1,PM2.5-2
1,77.85665,64.60492
2,82.17881,68.01887
3,77.24217,64.35594
4,66.02589,54.913715
5,55.68163,46.58523
6,47.787823,40.267597
7,43.476788,36.685833
8,42.736538,35.808544
9,43.474125,36.012577
10,44.584312,36.853176
11,41.018677,34.165833
12,36.805294,30.807667
13,32.50001,27.568672
14,27.942945,23.837206
15,27.070446,23.13198
16,25.825697,22.242434
17,23.133162,20.166918
18,21.841612,19.500748
19,19.704485,18.045084
20,17.329346,16.09308
21,15.609874,14.594087
22,14.068611,13.283214
23,14.731249,13.819449
24,16.103634,14.986614
25,17.321896,15.842097
26,17.177649,15.971196
27,16.332045,15.368243
28,15.147049,14.384134
29,16.025822,15.078268
30,16.822897,15.671203
31,16.019165,14.908891
32,17.270632,15.508373
33,15.979282,14.392413
34,16.248468,14.62003
35,15.987375,14.424096
36,15.463165,13.930087
37,14.391226,13.13144
38,13.896051,12.645884
39,14.440108,13.123198
40,13.648907,12.651432
41,14.641426,13.542958
42,14.400126,13.613481
43,13.411004,12.688045
44,13.015408,12.389344
45,11.961758,11.429794
46,13.623186,12.792222
47,12.294514,11.678241
48,13.211182,12.486902
49,12.346544,11.864252
50,11.135241,10.871245
51,11.133366,10.873129
52,10.362854,10.327842
53,8.674616,8.829257
54,7.7200003,7.874855
55,8.229323,8.240638
56,9.745889,8.178556
57,10.008171,9.211083
58,9.798707,8.951785
59,8.851988,8.273433
60,7.4661427,7.3256836
61,8.240328,7.78235
62,9.152283,8.536563
63,11.2747135,9.987704
64,11.239492,9.954211
65,13.496969,12.054736
66,13.599944,12.018259
67,15.450324,13.346288
68,16.43495,14.317847
69,16.971327,14.468722
70,16.79734,14.162059
71,17.42703,14.077453
72,17.32479,13.222537
73,16.598892,11.9893875
74,12.674717,9.451456
75,10.496602,8.098814
76,10.898199,7.6048293
77,11.188339,7.9432693
78,11.796299,7.7826934
79,14.006771,9.333759
80,16.002495,10.640812
81,18.83273,13.214688
82,18.870455,13.346161
83,23.606867,17.23684
84,28.003874,21.602512
85,30.561214,24.597536
86,35.24126,28.521515
87,35.530167,29.475014
88,35.904217,29.959866
89,40.79932,34.278267
90,40.95737,34.366905
91,43.26025,36.259064
92,44.347626,37.186058
93,43.459156,35.563408
94,44.3038,34.89682
95,36.08457,27.21471
96,33.68453,24.550127
97,27.383883,19.87171
98,23.652212,16.726414
99,22.141258,15.706687
100,18.937094,12.927266
101,15.653904,10.397806
102,14.064022,9.182233
103,20.753977,15.025952
104,37.077988,28.027014
105,35.65067,27.588108
106,39.77684,30.874504
107,39.659916,31.14339
108,37.73437,29.627028
109,29.055607,22.63675
110,32.804672,24.98534
111,36.120445,26.995798
112,41.47752,32.95214
113,44.615303,36.152447
114,51.776417,40.990173
115,51.281586,39.326447
116,50.39224,35.754036
117,46.10091,30.513783
118,42.89732,27.960213
119,39.67309,26.51519
120,31.971598,23.522453
121,26.791143,20.189756
122,23.67336,17.189775
123,21.1464,16.169018
124,19.510183,14.338298
125,17.084219,12.387271
126,16.958828,11.830279
127,19.622473,12.617849
128,26.255384,17.285057
129,27.64588,17.847797
130,27.698599,20.5425
131,31.839455,24.972324
132,25.91769,20.243582
133,25.506811,19.345789
134,25.695688,20.478199
135,31.983942,26.179792
136,35.44759,30.146896
137,47.595898,41.413563
138,58.521202,50.58859
139,56.766884,48.959057
140,50.66834,43.996452
141,42.142193,37.189465
142,28.560432,26.215176
143,21.86923,20.385302
144,15.296768,14.765723
145,14.850149,14.596913
146,13.985428,13.998052
147,16.202997,15.78815
148,12.528231,12.549774
149,7.243391,8.057941
150,4.814189,6.3458037
151,4.98948,6.524071
152,6.8701744,7.3786464
153,9.052893,8.106344
154,8.862767,8.013148
155,8.834188,8.070911
156,9.282169,8.398721
157,9.324947,8.212882
158,7.717645,6.925872
159,7.5822496,6.884153
160,10.88619,9.279441
161,12.679216,11.034886
162,14.388322,12.285242
163,14.373139,12.602168
164,16.10463,14.340954
165,15.586815,14.214597
166,16.326672,14.897239
167,16.476057,14.777904
168,19.211535,16.939178
169,19.826674,17.55212
170,22.062166,19.457064
171,22.637758,20.062256
172,25.43673,22.171339
173,27.44996,23.585487
174,31.433493,26.59782
175,31.454496,26.502277
176,37.160797,30.515026
177,36.82481,30.499395
178,38.219414,31.53228
179,35.040493,29.143772
180,31.147844,25.914165
181,28.637014,24.021587
182,27.148167,22.778187
183,29.40431,24.759174
184,30.26884,26.018616
185,32.803688,28.083267
186,33.672657,28.803513
187,31.61889,26.966843
188,30.033873,25.821327
189,26.943613,23.289434
190,27.891752,24.13957
191,23.695957,20.83096
192,21.419502,19.386686
193,15.440399,14.384887
194,11.882788,11.482877
195,11.586189,11.1992855
196,10.797484,10.462082
197,12.225569,11.838599
198,13.40149,12.823764
199,15.280353,13.663428
200,17.603804,14.989475
201,18.574743,15.776935
202,17.88708,15.247886
203,18.350925,15.691188
204,20.594028,17.441122
205,19.90708,16.831709
206,20.452597,17.045563
207,17.356823,15.0031
208,20.19801,17.32388
209,21.858582,19.069927
210,21.686193,18.728285
211,20.251642,17.85734
212,18.85454,16.938417
213,17.0897,15.700055
214,16.464489,15.070798
215,15.338032,13.995759
216,14.105587,13.226749
217,11.843786,11.364503
218,10.941034,10.654635
219,9.776495,9.688968
220,8.14361,8.369552
221,8.740964,8.810941
222,8.705769,8.660676
223,10.1503935,9.503861
224,11.124776,9.976624
225,11.585065,10.447734
226,13.525326,11.951071
227,11.546116,10.419547
228,14.179419,12.600729
229,15.02408,13.397906
230,15.188878,13.365096
231,14.156055,12.538072
232,14.639545,13.298608
233,16.45825,14.781716
234,20.497692,18.381718
235,20.092123,18.077892
236,21.65645,19.259985
237,21.303286,18.922028
238,24.828426,21.78429
239,25.021482,22.024576
240,28.480375,24.860245
241,30.61873,26.605316
242,32.00781,27.46613
243,30.556198,26.423725
244,26.15957,23.258007
245,23.984766,21.324171
246,22.329546,20.000433
247,22.151009,19.918787
248,26.209015,23.151474
249,25.873337,22.2389
250,25.879343,22.104792
251,25.42225,21.35302
252,25.512999,21.472536
253,27.645435,23.134838
254,28.331184,23.535889
255,30.173819,24.76467
256,28.775095,23.762375
257,29.929071,25.170536
258,31.020304,26.185104
259,32.614574,27.669415
260,34.226433,28.939182
261,33.196083,28.268925
262,31.168756,26.714851
263,30.834028,26.18882
264,31.192621,26.51652
265,28.824724,24.501083
266,25.021173,21.560162
267,21.791656,19.160845
268,23.623709,20.467976
269,23.53145,20.42476
270,24.166866,20.896732
271,23.90827,20.493767
272,26.044516,21.855324
273,28.964521,24.317646
274,30.484129,25.395607
275,28.525576,23.967354
276,27.005259,22.346863
277,26.432493,22.267742
278,27.711325,23.817684
279,28.247328,24.29464
280,25.839113,22.26905
281,23.146782,20.807592
282,19.63368,18.06476
283,16.036263,15.208908
284,12.757307,12.417092
285,12.214226,11.924339
286,11.515621,11.38284
287,9.276468,9.822656
288,6.458871,7.2513843
289,5.906184,7.3573246
290,6.2149916,7.5774207
291,5.3570538,6.6292977
292,6.95835,7.936769
293,7.66772,8.028461
294,8.429773,8.134551
295,9.193439,8.993494
296,10.995437,9.34093
297,9.686778,7.818676
298,7.132373,6.043407
299,5.849736,4.6621876
300,7.658925,6.500488
301,8.516459,7.2122865
302,7.3884563,5.954074
303,7.039946,5.4317904
304,8.533062,6.8470583
305,10.209056,8.236428
306,12.787954,9.930542
307,16.525146,12.55953
308,30.667574,21.417084
309,41.262253,32.201225
310,40.51073,33.48362
311,29.482111,25.738497
312,20.763922,17.638594
313,15.899771,14.168637
314,12.131292,10.547937
315,11.476202,10.478191
316,10.243726,9.587973
317,9.466772,8.724599
318,8.799546,8.388204
319,8.502568,7.837436
320,8.326728,7.398659
321,6.7371445,6.5580754
322,8.696636,6.837409
323,9.7795105,7.8082633
324,12.72635,10.382598
325,14.189929,11.57095
326,13.812987,11.38811
327,14.424736,12.378019
328,14.551445,12.239627
329,15.462414,12.9349375
330,15.809841,13.0544
331,15.485769,13.190467
332,14.5028105,12.440059
333,13.538315,11.706841
334,12.390856,10.77682
335,11.893829,10.176337
336,11.270181,10.008754
337,10.512169,9.965455
338,10.811285,10.354009
339,10.098295,9.908573
340,10.579689,10.317166
341,10.385111,10.148522
342,10.94632,10.1961775
343,13.835102,11.720029
344,20.008158,15.626222
345,22.749723,17.918634
346,22.613379,18.205433
347,20.771921,17.040413
348,18.702919,15.610068
349,17.100103,14.664565
350,14.539453,13.08369
351,16.308771,14.053412
352,15.323879,13.231478
353,13.06433,11.55676
354,13.531366,11.897184
355,13.677711,12.262773
356,14.394996,12.624164
357,13.313515,12.056758
358,13.372244,12.386556
359,12.9315815,12.205817
360,12.8512335,12.326817
361,12.716475,12.161561
362,12.555893,12.099927
363,11.983061,11.718294
364,11.6215,11.273738
365,11.454584,11.013324
366,13.46777,12.253977
367,14.750701,12.3194685
368,18.998,15.036534
369,17.958721,14.363638
370,15.958559,13.577931
371,14.223093,12.696584
372,11.740404,10.991313
373,16.861094,14.725578
374,15.824154,14.040002
375,15.96665,13.874325
376,15.17444,13.37197
377,17.910723,15.718406
378,21.36343,18.749203
379,26.791735,22.74338
380,25.625177,21.931969
381,24.133741,21.36715
382,20.54649,18.642357
383,20.940132,18.726105
384,18.971596,17.334272
385,20.6852,18.717731
386,21.189014,19.325975
387,21.821653,19.951942
388,25.974344,22.90661
389,26.762987,23.59869
390,30.678694,26.492786
391,37.858376,31.885967
392,49.022236,40.651386
393,54.261845,44.775806
394,50.402737,41.634155
395,46.142902,37.977905
396,41.52536,34.67871
397,42.58955,35.633293
398,46.800167,38.980083
399,49.234375,40.92544
400,49.377674,41.16997
401,51.489143,43.061317
402,52.251137,43.961494
403,53.752274,45.046318
404,52.89445,44.445213
405,48.42172,41.06519
406,43.85532,37.102966
407,38.477222,32.65328
408,34.045,29.362865
409,29.315702,25.917053
410,24.203447,22.362753
411,22.789217,20.928844
412,21.280096,19.622696
413,20.888212,19.228315
414,18.334467,17.181068
415,15.259977,14.486664
416,14.667689,13.523263
417,15.829382,14.281037
418,16.907776,15.1024065
419,14.296633,12.534399
420,12.142881,11.175115
421,9.373115,8.941514
422,8.970063,8.654195
423,8.4914055,8.405095
424,9.450445,9.3176
425,12.482605,11.618177
426,14.084877,12.583157
427,13.764572,12.10069
428,12.077507,11.124402
429,12.544506,11.310592
430,13.98654,12.914485
431,15.039072,13.855467
432,15.664545,14.494526
433,14.136158,13.180729
434,13.448822,12.835479
435,12.454801,12.02221
436,14.843995,14.008651
437,13.542938,12.868545
438,15.495874,14.181908
439,17.823462,16.037992
440,22.332037,19.219063
441,32.892128,27.652554
442,43.487514,35.335144
443,46.84312,36.878
444,41.982822,34.248173
445,36.257854,30.384954
446,38.209194,32.112953
447,39.815586,33.52558
448,40.78889,34.43306
449,40.69663,34.4284
450,41.63895,35.389957
451,39.196598,33.43269
452,37.99322,32.79219
453,36.66498,31.606358
454,36.67147,31.57375
455,36.47205,31.333313
456,35.383015,30.519619
457,33.579586,29.318932
458,35.36488,30.883781
459,35.43078,30.928623
460,35.49805,30.873661
461,35.081444,30.530151
462,35.286182,30.940817
463,36.605423,31.51831
464,36.809265,30.91537
465,34.140156,28.454678
466,33.683628,28.40772
467,35.65284,30.114788
468,36.049217,30.399197
469,34.837715,29.443142
470,31.150972,26.312473
471,29.582062,25.368904
472,28.974318,25.032078
473,32.875683,28.388214
474,32.83193,28.359455
475,31.547071,27.102634
476,30.809359,26.725855
477,31.607632,27.52245
478,30.7931,26.770054
479,30.098625,26.240906
480,29.325415,25.522501
481,28.9745,24.694845
482,29.55758,25.255798
483,26.991667,22.901798
484,27.724913,22.931927
485,25.426373,19.822134
486,27.065338,20.541315
487,31.229017,23.5939
488,39.055473,31.709015
489,44.18365,35.303852
490,49.55469,40.08999
491,46.67606,38.35622
492,44.550953,36.926353
493,37.81881,31.208805
494,36.159294,30.10619
495,38.33057,31.673044
496,35.627644,29.93198
497,38.632732,32.70282
498,39.545963,33.0396
499,37.33858,31.136274
500,37.653988,31.51779
501,41.52194,34.2255
502,42.30575,33.99831
503,39.57211,31.465126
504,33.978966,27.00983
505,32.26131,26.413263
506,28.359735,22.377514
507,26.72601,21.060022
508,22.02226,17.098248
509,19.729725,15.53304
510,19.233873,14.327144
511,26.282732,19.75512
512,28.416683,19.488287
513,35.29163,24.81663
514,44.911243,34.75965
515,46.2123,37.062717
516,52.49981,43.036804
517,57.479794,47.775616
518,65.62661,53.85513
519,69.34278,57.046963
520,66.70344,54.818577
521,62.725346,51.84041
522,63.00009,52.0884
523,61.665874,50.991817
524,60.48252,50.64467
525,59.107918,49.03187
526,57.677372,47.6528
527,56.34128,46.267864
528,53.439472,43.491047
529,50.19428,41.288822
530,44.33173,36.86131
531,41.739136,35.08279
532,37.723423,32.082035
533,35.709644,30.444489
534,33.05464,27.997906
535,33.465317,27.63574
536,41.298466,32.94853
537,41.061012,32.894154
538,34.639362,27.772999
539,33.360973,27.305603
540,29.100477,23.902538
541,25.159582,20.766598
542,25.406984,20.905405
543,24.259352,19.995903
544,26.46322,21.934597
545,29.520788,24.973167
546,32.832195,27.98396
547,35.760715,30.191685
548,35.158318,29.84844
549,35.267002,29.951576
550,36.966732,31.106064
551,37.61538,30.90541
552,36.691917,30.029354
553,36.444244,30.094524
554,36.166744,30.168055
555,36.671886,29.580349
556,34.566463,27.465473
557,34.41934,26.493855
558,35.618908,26.322384
559,35.965664,26.840294
560,39.084076,28.614353
561,39.088665,29.72765
562,33.27045,26.03862
563,29.576284,23.64079
564,26.99159,22.007687
565,24.450163,20.24634
566,25.131903,20.540594
567,28.224813,22.71405
568,39.41824,31.995739
569,43.112125,35.508213
570,41.55734,34.850975
571,46.58604,38.953114
572,51.39444,42.07311
573,51.672398,41.84039
574,46.79059,37.524345
575,43.320343,33.56948
576,36.321728,28.102095
577,33.096676,26.218363
578,30.581415,23.870075
579,26.4408,20.636776
580,24.800009,19.301062
581,19.934801,16.645332
582,21.662737,17.446016
583,23.846594,17.842901
584,30.941175,21.752987
585,33.21208,24.29507
586,37.03666,29.472595
587,40.231518,32.72741
588,39.636524,32.574
589,38.61407,31.965202
590,37.292538,30.62913
591,36.492252,29.988243
592,33.46035,27.404625
593,32.884075,26.818098
594,35.207767,29.324139
595,38.655056,32.146797
596,35.92178,29.619595
597,33.39168,27.556393
598,29.78517,24.979883
599,28.371664,24.206127
600,26.330282,22.879316
601,26.41124,22.798124
602,25.322765,21.975
603,24.407667,21.16045
604,22.893217,19.875402
605,22.075745,18.480066
606,23.429325,18.64047
607,22.504671,15.934338
608,23.525202,16.416782
609,25.305037,18.634981
610,29.45801,24.260912
611,28.063057,23.440598
612,26.136251,21.54882
613,30.93458,24.764761
614,29.360544,23.621056
615,32.168365,25.551626
616,28.296505,23.572296
617,29.218168,24.52042
618,32.39625,27.671875
619,37.44106,31.288387
620,35.684433,29.980515
621,32.47554,27.638498
622,31.13526,26.64542
623,28.795565,25.448929
624,28.946772,25.91292
625,29.666445,26.841148
626,30.341972,27.294407
627,26.154455,23.687416
628,21.913992,20.165531
629,17.514284,16.559668
630,14.333017,13.969693
631,15.859049,14.353809
632,21.062708,18.041471
633,22.563772,19.35965
634,19.783644,17.30577
635,19.434858,17.361088
636,19.5852,17.62088
637,18.16662,16.63403
638,15.706938,14.242782
639,17.435625,15.743064
640,17.841492,15.863576
641,15.490015,13.783521
642,14.406721,12.86662
643,14.737076,13.185573
644,15.4229965,14.292801
645,16.767506,15.645261
646,15.648258,14.784373
647,12.939943,12.558515
648,12.47312,12.232774
649,12.648638,12.376574
650,11.248615,11.284502
651,9.114236,9.557291
652,5.9782143,7.125419
653,5.60884,7.213844
654,5.5663753,6.7154126
655,7.0617476,7.727656
656,11.320845,10.05269
657,14.334937,12.173408
658,14.747395,12.727496
659,15.921284,13.984329
660,15.733587,14.126885
661,13.984245,12.954054
662,11.120125,10.6608305
663,11.104458,10.64976
664,12.271505,11.440892
665,12.692266,11.611785
666,13.142237,11.882451
667,12.159988,11.020003
668,10.774999,9.6352825
669,9.028065,8.549901
670,7.3721104,7.180904
671,6.1492705,6.5398374
672,4.7839847,5.724852
673,4.7504587,5.8172364
674,4.8482847,6.329464
675,4.473263,6.269345
676,4.496446,6.244433
677,4.2482004,6.146163
678,3.8655005,5.326223
679,7.3557687,7.647911
680,11.432735,9.602721
681,14.858749,11.881648
682,14.69778,11.822517
683,13.798981,11.759934
684,13.014464,11.896325
685,12.065468,10.96358
686,12.550421,11.211606
687,11.879194,10.760298
688,12.848616,11.643908
689,13.137302,12.064302
690,14.811777,13.165543
691,15.43122,13.62957
692,16.844715,15.104762
693,19.393213,17.27601
694,20.1388,17.812809
695,19.314571,16.935703
696,18.89969,16.456131
697,19.287199,17.378105
698,15.291088,14.373496
699,14.379534,13.598067
700,10.235686,10.042653
701,11.467896,10.989243
702,7.373803,7.1328187
703,7.816394,6.5473003
704,10.5089445,8.156211
705,12.631851,9.60827
706,12.588913,9.519178
707,10.067181,8.017003
708,8.9705,7.333798
709,8.57506,7.2956853
710,7.6131573,6.5926266
711,8.609571,7.1162605
712,8.911869,7.275456
713,9.176777,7.5554404
714,8.623922,7.288769
715,5.5063086,5.7333226
716,5.224779,5.6651325
717,5.8308735,5.9437547
718,6.0722575,6.140303
719,4.4562387,5.7824244
720,3.9347212,5.5409102
721,3.539664,5.067256
722,3.7293289,5.0218773
723,4.288261,5.37209
724,5.3723435,6.460418
725,6.378085,6.8506274
726,7.7172937,7.718265
727,8.340675,7.7894597
728,11.514542,10.156307
729,12.966385,11.1451435
730,14.4605255,12.766612
731,14.539919,13.290231
