INDEX,PM2.5
1,37.427433
2,44.28414
3,42.07581
4,40.6626
5,27.279613
6,27.21682
7,28.191608
8,31.135902
9,41.068554
10,55.64924
11,69.54919
12,68.911865
13,55.886593
14,58.726837
15,69.971664
16,61.595932
17,54.339603
18,37.77465
19,38.671055
20,36.263893
21,36.13931
22,36.36314
23,41.389282
24,47.40791
25,51.115025
26,49.653164
27,53.122814
28,52.07246
29,58.2778
30,62.160133
31,69.416306
32,80.92146
33,84.90724
34,71.12759
35,57.530777
36,57.29432
37,59.629433
38,52.158463
39,41.856678
40,40.192368
41,39.451694
42,37.07776
43,41.671673
44,44.12182
45,44.81826
46,49.56865
47,48.54496
48,47.813507
49,43.068645
50,46.635857
51,48.3838
52,47.34889
53,52.110542
54,58.415974
55,70.98018
56,74.6521
57,74.093094
58,80.787766
59,75.420685
60,71.98494
61,55.96721
62,66.67825
63,52.139084
64,45.99401
65,39.397755
66,44.272083
67,46.851246
68,52.838448
69,58.76779
70,65.54961
71,61.09917
72,61.847706
73,55.662033
74,57.190933
75,51.366364
76,45.950645
77,44.780926
78,43.69002
79,48.809395
80,48.5112
81,59.822826
82,63.013756
83,67.41931
84,57.661377
85,51.831997
86,55.207836
87,50.441414
88,50.99803
89,47.037773
90,44.74294
91,43.619198
92,43.092815
93,53.407932
94,55.463646
95,52.65078
96,48.243305
97,52.006226
98,51.804634
99,50.175026
100,53.667618
101,56.80449
102,54.951096
103,63.31018
104,47.989414
105,45.245422
106,51.90567
107,41.893173
108,43.033424
109,37.522747
110,35.536163
111,32.690445
112,26.36504
113,23.876022
114,23.063202
115,31.4364
116,34.3802
117,38.89738
118,50.65249
119,48.975628
120,55.00412
121,56.09298
122,60.85022
123,71.28056
124,69.492386
125,58.211906
126,52.526436
127,63.749557
128,72.63299
129,76.58821
130,74.43099
131,81.049034
132,73.71025
133,66.47404
134,56.121235
135,44.8112
136,39.76205
137,43.41088
138,42.4724
139,47.321182
140,49.560677
141,49.996834
142,55.722572
143,51.498116
144,56.40216
145,48.169117
146,52.532784
147,59.792385
148,69.79654
149,81.92698
150,83.448395
151,84.316086
152,76.989914
153,84.18161
154,83.03201
155,47.579136
156,36.97501
157,44.736183
158,33.560486
159,23.330645
160,33.085102
161,37.546665
162,45.786655
163,50.684948
164,54.49394
165,58.789577
166,69.99017
167,82.87013
168,80.960144
169,78.852905
170,84.86221
171,83.847946
172,81.826324
173,69.92027
174,65.225555
175,60.613068
176,64.42358
177,60.264595
178,43.769638
179,33.553093
180,30.0124
181,30.69411
182,34.134876
183,42.820023
184,47.3809
185,44.95967
186,42.391544
187,50.08213
188,51.023888
189,48.932167
190,49.433067
191,44.30451
192,41.24825
193,35.39438
194,40.728317
195,39.98699
196,34.752464
197,35.010372
198,34.62771
199,33.662243
200,29.286144
201,30.357315
202,35.50444
203,37.492233
204,44.30831
205,45.282528
206,42.747
207,64.8808
208,83.22516
209,59.264565
210,60.466576
211,77.092125
212,78.52244
213,85.961975
214,65.905754
215,45.050518
216,39.734627
217,38.604263
218,42.57326
219,34.73157
220,35.79764
221,35.820255
222,40.57895
223,46.408318
224,50.929478
225,66.9346
226,70.79401
227,75.803246
228,64.3354
229,67.15515
230,63.970398
231,68.80901
232,73.13288
233,72.567215
234,85.1842
235,86.07042
236,83.51042
237,71.347755
238,66.816475
239,60.112766
240,62.39003
241,60.89872
242,61.494835
243,62.675667
244,69.31561
245,64.005005
246,53.536884
247,51.661335
248,60.24315
249,59.87696
250,68.69355
251,73.504135
252,74.82829
253,81.3306
254,78.461365
255,70.2287
256,60.41298
257,54.91826
258,54.853817
259,53.2105
260,49.816628
261,50.810493
262,46.52436
263,44.951183
264,40.619934
265,39.600582
266,35.673717
267,36.99295
268,36.12549
269,34.16669
270,32.484264
271,39.579258
272,57.357132
273,73.465164
274,78.00571
275,76.36901
276,75.58
277,57.266293
278,50.931812
279,51.98821
280,45.80293
281,42.49762
282,47.168934
283,51.887558
284,48.9995
285,49.515423
286,47.87981
287,45.26104
288,47.772854
289,48.630547
290,45.84561
291,41.442856
292,33.686153
293,31.96915
294,37.749306
295,49.120472
296,55.609978
297,62.00526
298,56.210476
299,57.860756
300,60.545
301,57.489708
302,52.981285
303,45.873863
304,55.827217
305,73.82132
306,59.975414
307,47.28331
308,42.778564
309,38.13067
310,32.596252
311,30.705505
312,29.127579
313,34.119114
314,30.638493
315,31.758797
316,21.352194
317,21.797329
318,20.981842
319,23.808554
320,21.168396
321,21.493938
322,26.550552
323,35.48042
324,35.60344
325,37.179333
326,29.113014
327,24.564568
328,23.483143
329,28.509336
330,42.75396
331,39.52549
332,36.95403
333,36.931255
334,40.312805
335,50.09706
336,49.139286
337,49.0698
338,47.0931
339,45.724762
340,44.742794
341,37.616417
342,43.589703
343,44.282524
344,47.31678
345,40.99573
346,38.6044
347,32.51124
348,27.408978
349,27.924793
350,34.80118
351,38.329895
352,40.186996
353,38.08466
354,40.109524
355,35.63211
356,36.016457
357,35.231262
358,33.636417
359,31.261871
360,27.043167
361,23.315853
362,20.084562
363,18.332691
364,17.790056
365,21.136147
366,18.914358
367,19.77928
368,24.123135
369,25.479279
370,29.037334
371,29.381405
372,30.09945
373,34.655643
374,34.02156
375,39.02141
376,40.97486
377,41.414066
378,39.819233
379,36.75013
380,35.927036
381,35.17351
382,42.15401
383,44.243412
384,36.962666
385,37.514343
386,36.461514
387,36.31985
388,35.212273
389,33.131683
390,47.02192
391,49.07789
392,48.90708
393,55.280914
394,61.48697
395,59.238384
396,59.80405
397,56.308754
398,45.602432
399,39.38567
400,37.721485
401,40.472782
402,38.932426
403,37.324554
404,38.45494
405,36.888844
406,31.361555
407,31.042717
408,30.643929
409,25.729088
410,25.764517
411,21.578064
412,26.295702
413,27.480534
414,33.323715
415,44.90885
416,57.748497
417,54.603218
418,44.443306
419,43.696205
420,39.48706
421,41.367035
422,37.556957
423,34.901176
424,30.994274
425,30.28235
